1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-1.8669,-1.2096,1.0358,0.0239,-1.0284,-0.0259,0.8801,0.4778,1.1449,0.4397,-0.1530,-0.3123,0.1394,0.9228,-0.6208,0.0726,1.3409,0.4162,-1.4609,0.0867,-0.8309,0.7847,0.9698,-0.0965,0.1917,-0.0822,1.8527,0.2697,-1.2367,0.3900,-0.7157,-0.2824,0.0370,1.0517,0.5098,-0.9725,0.6205,1.0982,-0.6531,1.8969,-1.1560,0.0335,-1.6310,0.3115,-0.6785,-0.2018,-0.3734,-0.0468,0.4163,-0.9826,0.8171,0.5472,-0.3927,1.2794,0.6432,-0.1307,0.4199,0.6395,0.1369,0.3893,-0.2707,-0.2913,-0.6519,-0.5087,-1.1937,0.3622,-0.2016,-0.1192,1.5291,0.7606,1.2533,-0.6199,-0.5086,1.0919,-0.2520,0.2900,2.2132,-0.4265,-0.2058,-0.6776,0.1262,-0.8890,-1.1651,-0.1474,-1.0795,-2.5578,-1.5164,-0.6097,-0.6755,0.5850,-0.2406,-0.0450,-0.1358,-1.3353,1.3646,-0.2344,0.4521,-0.1590,-0.0671,1.1097
-2.1469,-0.4331,-0.0891,1.3842,-1.4148,0.1138,-0.8275,0.5115,-1.2898,1.8105,0.8521,-1.4327,2.0431,2.1924,-1.6528,-0.2714,1.2379,0.3033,-2.6355,1.8659,-0.5790,0.3889,2.1378,-2.2891,0.1586,-0.4559,0.7249,0.4883,-1.3376,1.3597,-0.1704,0.7306,-0.2027,0.4638,0.0205,-0.3343,1.3963,1.5880,-0.3093,0.6700,-0.1771,-2.3026,-3.6410,-0.1420,-2.0671,0.4503,1.3083,-1.7247,2.4261,-2.1187,0.1724,-0.5054,-0.9774,1.9354,1.6825,-0.8466,0.2316,1.4121,1.4344,0.8666,-2.2377,0.0173,-1.7250,-1.9849,-2.0401,-0.4857,0.9839,-0.3659,2.0110,0.1353,0.3692,-1.0058,0.7544,2.8845,-0.6799,0.9630,2.4750,-0.8996,0.8668,-0.2142,0.9141,-2.1585,-1.3146,-0.1590,0.8018,-3.4967,-2.8482,-0.3911,-1.9049,0.9427,1.4949,0.0983,1.5852,-2.8987,1.9553,-0.7306,-0.5991,-0.3707,0.0436,0.9539
-1.8919,-0.6469,-0.4098,2.8243,-1.3704,-1.6783,-0.6159,1.2910,-1.4260,2.4720,0.5230,-1.6965,0.8596,1.4227,-2.5168,-1.8057,1.9468,-1.5666,-2.0061,1.8718,-1.3011,1.0952,3.4428,-2.8618,0.1018,0.4996,0.2198,-0.3950,-0.6236,1.1304,0.1209,2.0055,1.4613,1.1173,0.6376,-1.0708,1.5238,4.2561,-2.2298,1.3011,0.0193,-2.3635,-4.1695,-0.3632,-2.0147,-0.5371,1.0999,-0.1794,2.7099,-2.0380,0.1148,0.4868,-1.3435,2.2369,1.9139,0.0603,-0.7989,2.8857,2.0944,2.3370,-0.5341,0.3935,-2.2801,-1.6826,-2.1916,-0.7513,2.2304,-1.6867,2.0656,0.4370,-0.2497,-0.3984,1.4615,2.2815,-1.9729,2.2288,2.5466,-0.0370,3.0459,0.0936,2.3210,-1.4357,-2.1698,-0.4012,0.4261,-3.1358,-2.8253,-0.3639,-2.1597,1.2603,0.6178,1.1257,1.8550,-4.8693,2.2726,-2.2239,0.3320,1.8752,-1.1079,0.6621
-0.7912,0.4075,0.1092,3.8167,-0.9085,-1.0804,0.4104,0.9577,-0.2531,1.1191,1.5688,-0.8727,-0.4861,2.0359,-1.3240,-1.7943,2.2135,-1.7256,-2.5713,2.5907,-2.6442,-0.2961,2.3104,-3.1894,-1.3608,0.2674,1.4391,0.6098,-2.5890,3.2808,-1.7368,1.0056,1.9611,-0.4815,1.2144,0.3795,2.0709,3.8248,-4.0661,2.8100,-0.2351,-1.0146,-3.7111,0.0205,-1.3696,-1.3644,-0.4102,-0.3118,2.8771,-0.8312,0.4022,0.3676,-2.5678,1.5687,2.4077,-0.8398,-1.0509,3.3400,2.0346,2.4793,-0.6598,-0.6244,-0.8995,-0.7064,-1.8060,-1.2908,3.9249,-1.0438,1.3637,0.1671,-0.3671,-1.1782,1.1698,1.9627,-2.2198,3.2696,1.2035,1.2255,2.6484,1.2695,1.0608,-1.7303,-1.8382,-1.8509,0.1400,-3.3177,-2.0810,-1.2789,0.1962,1.0450,1.7266,1.2075,1.9314,-4.8857,1.9747,-1.3098,1.4707,1.9726,-1.5875,1.7321
-0.2726,0.1827,0.7973,3.3848,1.0666,1.1254,-1.4111,1.2030,-0.9559,1.7813,1.8331,-1.0933,0.5757,1.7634,-2.3959,-1.5897,0.6688,-1.4450,-2.0975,3.0810,-2.0296,1.8930,3.4395,-3.4127,-2.3137,0.8000,1.2602,2.3380,-2.2291,2.2591,-1.6344,1.1514,2.5293,-1.2176,1.3509,1.2065,1.8520,3.0981,-3.9908,2.7302,0.9699,-0.5554,-4.2899,0.2847,-2.1112,-1.7634,-1.6027,-1.3931,1.8109,-1.0063,0.0373,-2.9082,-1.6299,0.7197,2.1215,1.6072,-0.1501,4.4283,3.2702,1.1672,1.0225,-1.4193,-1.5586,-1.1160,-1.9490,0.1541,2.5645,1.1046,1.3508,0.9409,-0.0947,-1.1496,1.3217,4.0623,-2.3022,2.2350,1.5747,1.2645,2.9516,1.8255,1.5184,-1.9650,-3.0331,-1.5467,1.2886,-5.1920,-3.3740,-0.8910,-1.8068,2.0193,1.8967,1.2170,0.8756,-3.8374,3.4635,-1.0183,2.7016,1.2138,-1.9087,2.5468
0.0539,-0.8640,2.0607,3.4989,2.1625,0.5226,-1.3890,2.6475,-0.6684,0.4587,0.7694,0.3462,2.0394,1.4544,-3.0960,-0.8372,0.9180,-2.2481,-1.3354,3.3888,-1.2834,1.4264,4.6993,-1.3748,-1.5890,0.8995,2.6189,3.3360,-1.9423,0.3486,-2.4752,-1.0993,2.5784,-3.6113,1.1032,2.2519,1.7001,1.7322,-6.4376,2.4861,3.7265,-0.7397,-3.6910,-0.3328,-1.5383,-3.4136,-2.0700,-2.0728,3.1648,-3.4015,1.5784,-3.2628,-1.7718,1.0153,0.9780,0.7852,0.7376,6.0774,1.7047,-0.0469,0.9830,-0.8395,-1.7156,-1.5923,-2.1689,1.0034,2.1436,2.3397,1.7168,0.7355,-1.0055,-2.6535,1.9122,5.4212,-0.2747,1.5962,0.9232,2.5288,3.2070,2.0237,0.0467,-2.5424,-2.6244,-1.7345,-0.5884,-6.9139,-3.2250,-1.5989,-3.2630,2.9106,2.4117,1.2292,1.4359,-3.2476,2.8815,1.1820,3.1070,1.7799,-2.0268,3.6569
0.6813,-1.9639,0.1362,1.9797,2.8645,-0.1524,-1.2367,4.6739,-1.7459,2.2648,1.8341,-0.4107,-0.0721,0.2990,-3.1084,-2.1560,3.8865,-2.5823,-1.5213,2.3769,-2.4483,-0.2509,4.3251,-2.4255,-1.3267,0.5075,3.9628,3.3234,-0.5876,0.1564,-1.7932,-1.7694,3.8093,-4.7689,1.4838,1.2182,1.3197,2.1128,-7.3288,3.2182,3.8620,-1.0267,-4.0711,1.8785,-1.8667,-1.8607,-1.8413,-2.0296,3.6765,-1.8213,1.9075,-0.7926,-1.1918,0.7000,3.2098,0.6146,1.0972,5.6031,4.2667,-1.2830,-0.0495,0.7004,-1.0058,-0.6870,-3.8883,1.6241,3.1158,0.7062,0.5939,0.2950,-2.3828,-2.8249,2.1138,6.4584,0.6320,1.7438,2.6503,2.5092,3.9948,1.7365,0.6746,-1.9328,-1.6517,-1.0172,-0.0113,-6.2657,-4.7494,-1.3101,-4.5701,4.3299,0.3180,-0.0632,1.8707,-0.0352,1.3696,1.2029,4.9036,2.1157,-3.0145,5.0849
-0.4228,-0.3357,0.1201,2.1603,4.2053,-0.3679,-0.5577,3.7251,-1.6288,2.0168,1.1571,-0.8601,-0.2566,-0.0495,-3.5045,-3.5896,4.2404,-1.1580,0.2123,2.5512,-1.9722,-0.1290,2.7813,-3.6171,-0.5125,0.7784,4.0498,3.2536,-2.7631,-0.2953,-2.5448,-1.1086,4.3084,-2.7418,1.3080,-0.5662,1.3399,1.0109,-6.5816,1.6019,4.8727,-1.7712,-4.4140,0.4003,-2.5869,-1.6924,-1.6881,-2.3814,4.2451,-1.7551,1.5464,-0.8876,-0.6700,2.2521,2.1280,0.1274,-0.4372,4.5497,3.7787,-1.2045,0.3873,1.8623,1.3712,-1.9732,-3.9790,0.7634,0.8525,0.0961,0.2166,0.0815,-3.0873,-3.9888,1.5578,5.6941,1.2384,2.4078,3.3941,2.5612,4.4542,2.1698,1.7263,-0.2311,-1.9979,-1.6934,0.2148,-6.7735,-6.5428,-0.0573,-3.8855,5.6691,0.2544,0.2433,2.9788,-0.9885,2.3377,0.7210,5.1036,3.3128,-1.5434,4.0499
0.3020,-0.0523,1.4912,2.6993,5.2069,-0.0497,-0.3139,3.2010,-1.1773,1.8993,0.3357,-3.4239,0.3835,0.5125,-3.2128,-4.2058,6.1865,-1.7234,0.7300,1.7947,-0.4491,1.0901,1.9979,-2.1836,0.3756,0.0543,2.0298,2.4473,-0.6817,0.4914,-1.8547,-0.7206,4.9206,-0.7285,2.4069,-0.4411,0.9106,2.1875,-6.7784,1.0422,4.2143,-2.3408,-3.1691,0.2451,-0.9744,-2.9018,-1.2982,-2.2925,2.1200,-0.6430,1.1529,-1.4681,-0.4962,0.1491,1.5844,1.5071,-0.5550,3.9454,3.8385,-1.6798,0.2715,1.9430,1.5127,-2.2752,-3.5705,-0.7152,1.1575,-0.6605,1.2840,1.1250,-4.4734,-4.5610,1.6620,7.4213,0.6256,2.9979,3.2470,1.8127,3.5563,3.5656,2.5812,-0.0728,-2.1196,-2.8176,0.7312,-8.1167,-6.9338,1.4173,-3.8762,6.6368,2.7640,1.6099,5.0594,-0.7127,1.2824,-0.9337,5.5880,1.7923,-1.0011,3.0352
-0.0832,0.2051,2.2387,2.9303,6.1984,1.9706,-0.3759,2.7283,-2.1752,2.0772,0.3298,-4.3092,0.6540,0.4201,-2.2299,-4.6116,5.8669,-0.9103,-0.0380,1.6630,0.5297,0.0663,3.5562,-2.6330,0.3824,0.3093,0.7742,2.4643,-2.1315,2.0012,-1.8456,-2.6823,4.0280,-1.7067,1.0370,-1.0160,0.8114,1.5361,-7.3363,2.1431,3.3476,-2.6361,-2.8127,-1.2637,-1.8828,-2.5600,-2.1413,-2.3927,2.3721,-1.6096,1.1514,0.6053,-0.9158,-0.2441,3.6062,1.1855,-0.1019,4.3919,3.1268,-2.4921,0.1600,2.5590,2.8443,-2.4565,-2.4784,-2.2996,-1.6689,1.0324,0.1600,1.3536,-3.5047,-4.0384,0.4249,7.4132,0.4348,3.6182,3.3329,-0.3745,3.6238,3.6817,2.0325,1.7019,-2.1677,-3.2832,0.3907,-8.7430,-7.2211,3.4998,-5.5720,6.6018,1.5155,0.8589,5.9366,-0.8600,-0.0509,-0.2950,6.1871,1.2820,1.3266,3.2191
