Date,SP500
1999-12-31,2021.40
2000-01-04,1925.41
2000-01-05,1929.28
2000-01-06,1931.51
2000-01-07,1983.83
2000-01-11,1979.92
2000-01-12,1971.36
2000-01-13,1995.35
2000-01-14,2016.64
2000-01-18,2002.88
2000-01-19,2004.02
2000-01-20,1989.81
2000-01-21,1984.01
2000-01-24,1929.20
2000-01-25,1940.90
2000-01-26,1932.78
2000-01-27,1925.31
2000-01-28,1872.61
2000-01-31,1919.84
2000-02-01,1940.24
2000-02-02,1940.21
2000-02-03,1962.21
2000-02-04,1961.44
2000-02-07,1961.30
2000-02-08,1985.49
2000-02-09,1944.57
2000-02-10,1951.65
2000-02-14,1914.88
2000-02-15,1931.58
2000-02-16,1912.12
2000-02-17,1912.96
2000-02-18,1854.85
2000-02-22,1863.26
2000-02-23,1875.16
2000-02-24,1865.20
2000-02-25,1837.70
2000-02-28,1858.17
2000-02-29,1883.50
2000-03-01,1901.51
2000-03-02,1905.09
2000-03-03,1942.89
2000-03-06,1918.44
2000-03-07,1869.33
2000-03-08,1884.81
2000-03-09,1933.11
2000-03-10,1923.98
2000-03-13,1908.42
2000-03-14,1874.69
2000-03-15,1920.28
2000-03-16,2012.03
2000-03-17,2020.31
2000-03-21,2060.90
2000-03-22,2070.27
2000-03-23,2107.13
2000-03-24,2107.28
2000-03-27,2102.31
2000-03-28,2080.08
2000-03-29,2081.44
2000-03-30,2053.05
2000-03-31,2067.75
2000-04-03,2077.97
2000-04-04,2062.53
2000-04-05,2052.52
2000-04-06,2072.15
2000-04-07,2092.87
2000-04-10,2076.46
2000-04-11,2071.22
2000-04-12,2025.23
2000-04-13,1988.43
2000-04-14,1872.55
2000-04-17,1934.50
2000-04-18,1990.04
2000-04-19,1970.58
2000-04-20,1980.36
2000-04-24,1973.91
2000-04-25,2039.60
2000-04-26,2017.04
2000-04-27,2022.68
2000-04-28,2005.55
2000-05-01,2027.39
2000-05-02,1997.09
2000-05-08,1967.01
2000-05-09,1950.50
2000-05-10,1910.79
2000-05-11,1945.38
2000-05-12,1963.59
2000-05-15,2007.03
2000-05-16,2025.96
2000-05-17,2000.94
2000-05-18,1986.40
2000-05-19,1944.65
2000-05-22,1936.04
2000-05-23,1898.94
2000-05-24,1933.85
2000-05-25,1909.67
2000-05-26,1904.98
2000-05-30,1966.59
2000-05-31,1964.40
2000-06-01,2003.45
2000-06-02,2042.79
2000-06-05,2029.50
2000-06-06,2015.98
2000-06-07,2034.91
2000-06-08,2021.56
2000-06-09,2015.03
2000-06-12,1999.92
2000-06-13,2032.58
2000-06-14,2034.19
2000-06-15,2045.52
2000-06-16,2026.00
2000-06-19,2055.83
2000-06-20,2041.94
2000-06-21,2046.35
2000-06-22,2009.13
2000-06-23,1994.33
2000-06-26,2013.46
2000-06-27,2006.88
2000-06-28,2013.08
2000-06-29,1995.89
2000-06-30,2012.83
2000-07-03,2033.58
2000-07-05,2001.71
2000-07-06,2016.41
2000-07-07,2047.18
2000-07-10,2042.64
2000-07-11,2049.99
2000-07-12,2066.79
2000-07-13,2070.86
2000-07-14,2090.44
2000-07-17,2091.14
2000-07-18,2067.97
2000-07-19,2051.76
2000-07-21,2049.31
2000-07-24,2027.41
2000-07-25,2041.51
2000-07-26,2011.01
2000-07-27,2007.29
2000-07-28,1966.20
2000-07-31,1981.36
2000-08-01,1991.43
2000-08-02,1992.41
2000-08-03,2011.80
2000-08-04,2026.40
2000-08-07,2049.14
2000-08-08,2054.11
2000-08-09,2040.55
2000-08-10,2023.33
2000-08-11,2039.51
2000-08-14,2066.90
2000-08-15,2057.03
2000-08-16,2050.93
2000-08-17,2073.44
2000-08-18,2067.48
2000-08-21,2078.25
2000-08-22,2076.38
2000-08-23,2087.40
2000-08-24,2090.66
2000-08-25,2088.10
2000-08-28,2098.72
2000-08-29,2092.98
2000-08-30,2083.48
2000-08-31,2104.43
2000-09-01,2108.76
