Date,VIX
2001-01-02,0.2999
2001-01-03,0.2660
2001-01-04,0.2697
2001-01-05,0.2867
2001-01-08,0.2984
2001-01-09,0.2799
2001-01-10,0.2680
2001-01-11,0.2579
2001-01-12,0.2456
2001-01-16,0.2528
2001-01-17,0.2493
2001-01-18,0.2337
2001-01-19,0.2324
2001-01-22,0.2325
2001-01-23,0.2157
2001-01-24,0.2203
2001-01-25,0.2264
2001-01-26,0.2257
2001-01-29,0.2261
2001-01-30,0.2257
2001-01-31,0.2202
2001-02-01,0.2166
2001-02-02,0.2195
2001-02-05,0.2219
2001-02-06,0.2198
2001-02-07,0.2167
2001-02-08,0.2146
2001-02-09,0.2203
2001-02-12,0.2192
2001-02-13,0.2137
2001-02-14,0.2152
2001-02-15,0.2027
2001-02-16,0.2212
2001-02-20,0.2469
2001-02-21,0.2575
2001-02-22,0.2676
2001-02-23,0.2721
2001-02-26,0.2543
2001-02-27,0.2649
2001-02-28,0.2835
2001-03-01,0.2808
2001-03-02,0.2743
2001-03-05,0.2712
2001-03-06,0.2589
2001-03-07,0.2412
2001-03-08,0.2429
2001-03-09,0.2562
2001-03-12,0.3032
2001-03-13,0.2755
2001-03-14,0.2961
2001-03-15,0.2856
2001-03-16,0.2991
2001-03-19,0.2978
2001-03-20,0.3096
2001-03-21,0.3193
2001-03-22,0.3284
2001-03-23,0.3045
2001-03-26,0.2904
2001-03-27,0.2704
2001-03-28,0.2858
2001-03-29,0.2917
2001-03-30,0.2864
2001-04-02,0.3121
2001-04-03,0.3472
2001-04-04,0.3407
2001-04-05,0.2994
2001-04-06,0.3169
2001-04-09,0.3191
2001-04-10,0.2944
2001-04-11,0.2846
2001-04-12,0.2612
2001-04-16,0.2633
2001-04-17,0.2561
2001-04-18,0.2413
2001-04-19,0.2416
2001-04-20,0.2538
2001-04-23,0.2816
2001-04-24,0.2849
2001-04-25,0.2740
2001-04-26,0.2596
2001-04-27,0.2402
2001-04-30,0.2548
2001-05-01,0.2420
2001-05-02,0.2423
2001-05-03,0.2578
2001-05-04,0.2391
2001-05-07,0.2486
2001-05-08,0.2444
2001-05-09,0.2435
2001-05-10,0.2400
2001-05-11,0.2354
2001-05-14,0.2426
2001-05-15,0.2371
2001-05-16,0.2189
2001-05-17,0.2147
2001-05-18,0.2123
2001-05-21,0.2076
2001-05-22,0.2135
2001-05-23,0.2208
2001-05-24,0.2057
2001-05-25,0.2060
2001-05-29,0.2214
2001-05-30,0.2276
2001-05-31,0.2264
2001-06-01,0.2159
2001-06-04,0.2138
2001-06-05,0.1958
2001-06-06,0.2039
2001-06-07,0.1967
2001-06-08,0.1992
2001-06-11,0.2070
2001-06-12,0.2070
2001-06-13,0.2145
2001-06-14,0.2312
2001-06-15,0.2281
2001-06-18,0.2317
2001-06-19,0.2234
2001-06-20,0.2171
2001-06-21,0.1938
2001-06-22,0.2002
2001-06-25,0.2067
2001-06-26,0.2120
2001-06-27,0.2088
2001-06-28,0.2001
2001-06-29,0.1906
2001-07-02,0.1876
2001-07-03,0.1892
2001-07-05,0.2009
2001-07-06,0.2163
2001-07-09,0.2248
2001-07-10,0.2325
2001-07-11,0.2401
2001-07-12,0.2209
2001-07-13,0.2114
2001-07-16,0.2291
2001-07-17,0.2261
2001-07-18,0.2360
2001-07-19,0.2251
2001-07-20,0.2234
2001-07-23,0.2374
2001-07-24,0.2524
2001-07-25,0.2400
2001-07-26,0.2301
2001-07-27,0.2200
2001-07-30,0.2269
2001-07-31,0.2162
2001-08-01,0.2056
