Date,Close,sigma2
2001-01-01,1837.36,
2001-01-02,1785.86,0.000190
2001-01-03,1875.56,0.000282
2001-01-04,1855.82,0.000274
2001-01-05,1807.13,0.000291
2001-01-08,1804.04,0.000381
2001-01-09,1810.98,0.000364
2001-01-10,1828.50,0.000333
2001-01-11,1847.37,0.000292
2001-01-12,1835.53,0.000255
2001-01-16,1847.13,0.000259
2001-01-17,1851.16,0.000231
2001-01-18,1876.94,0.000214
2001-01-19,1869.38,0.000182
2001-01-22,1869.89,0.000182
2001-01-23,1894.25,0.000171
2001-01-24,1899.71,0.000146
2001-01-25,1890.27,0.000134
2001-01-26,1886.80,0.000137
2001-01-29,1899.75,0.000134
2001-01-30,1913.13,0.000118
2001-01-31,1902.55,0.000104
2001-02-01,1913.11,0.000109
2001-02-02,1879.69,0.000097
2001-02-05,1886.48,0.000135
2001-02-06,1883.72,0.000123
2001-02-07,1868.29,0.000120
2001-02-08,1856.66,0.000131
2001-02-09,1831.96,0.000137
2001-02-12,1853.65,0.000164
2001-02-13,1837.77,0.000140
2001-02-14,1834.10,0.000153
2001-02-15,1849.15,0.000149
2001-02-16,1814.22,0.000130
2001-02-20,1782.75,0.000176
2001-02-21,1749.86,0.000218
2001-02-22,1746.50,0.000266
2001-02-23,1736.82,0.000256
2001-02-26,1767.29,0.000257
2001-02-27,1753.88,0.000217
2001-02-28,1729.07,0.000225
2001-03-01,1730.91,0.000256
2001-03-02,1721.09,0.000239
2001-03-05,1731.42,0.000241
2001-03-06,1748.74,0.000216
2001-03-07,1760.36,0.000187
2001-03-08,1764.39,0.000166
2001-03-09,1720.71,0.000153
2001-03-12,1646.42,0.000226
2001-03-13,1671.18,0.000419
2001-03-14,1628.02,0.000361
2001-03-15,1637.61,0.000452
2001-03-16,1605.48,0.000409
2001-03-19,1633.81,0.000466
2001-03-20,1594.50,0.000399
2001-03-21,1565.98,0.000481
2001-03-22,1559.65,0.000529
2001-03-23,1590.70,0.000513
2001-03-26,1608.65,0.000437
2001-03-27,1649.79,0.000383
2001-03-28,1609.67,0.000322
2001-03-29,1602.26,0.000402
2001-03-30,1619.54,0.000394
2001-04-02,1599.35,0.000345
2001-04-03,1544.35,0.000369
2001-04-04,1540.17,0.000515
2001-04-05,1607.46,0.000494
2001-04-06,1575.71,0.000422
2001-04-09,1588.50,0.000481
2001-04-10,1631.68,0.000429
2001-04-11,1628.23,0.000360
2001-04-12,1652.83,0.000346
2001-04-16,1647.50,0.000296
2001-04-17,1664.44,0.000289
2001-04-18,1729.26,0.000252
2001-04-19,1750.98,0.000227
2001-04-20,1736.02,0.000195
2001-04-23,1710.01,0.000206
2001-04-24,1689.23,0.000240
2001-04-25,1716.17,0.000263
2001-04-26,1724.38,0.000223
2001-04-27,1750.32,0.000202
2001-04-30,1745.39,0.000171
2001-05-01,1769.12,0.000168
2001-05-02,1770.66,0.000143
2001-05-03,1744.54,0.000134
2001-05-04,1769.78,0.000166
2001-05-07,1765.49,0.000141
2001-05-08,1762.41,0.000138
2001-05-09,1754.71,0.000134
2001-05-10,1754.46,0.000136
2001-05-11,1741.33,0.000130
2001-05-14,1746.01,0.000139
2001-05-15,1746.75,0.000128
2001-05-16,1796.72,0.000121
2001-05-17,1801.63,0.000112
2001-05-18,1806.83,0.000103
2001-05-21,1836.02,0.000094
2001-05-22,1831.20,0.000081
2001-05-23,1802.84,0.000081
2001-05-24,1808.64,0.000112
2001-05-25,1787.28,0.000102
2001-05-29,1773.45,0.000123
