Date,High,Low,sigma2
2001-01-02,1320.28,1276.05,0.000190
2001-01-03,1347.76,1274.62,0.000282
2001-01-04,1350.24,1329.14,0.000274
2001-01-05,1334.77,1294.95,0.000291
2001-01-08,1298.35,1276.29,0.000381
2001-01-09,1311.72,1295.14,0.000364
2001-01-10,1313.76,1287.28,0.000333
2001-01-11,1332.19,1309.72,0.000292
2001-01-12,1333.21,1311.59,0.000255
2001-01-16,1327.81,1313.33,0.000259
2001-01-17,1346.92,1325.41,0.000231
2001-01-18,1352.71,1327.41,0.000214
2001-01-19,1354.55,1336.74,0.000182
2001-01-22,1353.62,1333.84,0.000182
2001-01-23,1362.90,1339.63,0.000171
2001-01-24,1369.75,1357.28,0.000146
2001-01-25,1367.35,1354.63,0.000134
2001-01-26,1357.51,1342.75,0.000137
2001-01-29,1365.54,1350.36,0.000134
2001-01-30,1375.68,1356.20,0.000118
2001-01-31,1383.37,1364.66,0.000104
2001-02-01,1373.50,1359.34,0.000109
2001-02-02,1376.38,1348.72,0.000097
2001-02-05,1354.56,1344.48,0.000135
2001-02-06,1363.55,1350.04,0.000123
2001-02-07,1352.26,1334.26,0.000120
2001-02-08,1350.32,1332.42,0.000131
2001-02-09,1332.53,1309.98,0.000137
2001-02-12,1330.96,1313.64,0.000164
2001-02-13,1336.62,1317.51,0.000140
2001-02-14,1320.73,1304.72,0.000153
2001-02-15,1331.29,1315.92,0.000149
2001-02-16,1326.61,1293.18,0.000130
2001-02-20,1307.16,1278.44,0.000176
2001-02-21,1282.97,1253.16,0.000218
2001-02-22,1259.94,1228.33,0.000266
2001-02-23,1252.82,1215.44,0.000256
2001-02-26,1267.69,1241.71,0.000257
2001-02-27,1272.76,1252.26,0.000217
2001-02-28,1263.47,1229.65,0.000225
2001-03-01,1241.36,1214.50,0.000256
2001-03-02,1251.01,1219.74,0.000239
2001-03-05,1242.55,1234.04,0.000241
2001-03-06,1267.42,1241.41,0.000216
2001-03-07,1263.86,1253.80,0.000187
2001-03-08,1266.50,1257.60,0.000166
2001-03-09,1264.74,1228.42,0.000153
2001-03-12,1233.42,1176.78,0.000226
2001-03-13,1197.83,1171.50,0.000419
2001-03-14,1197.66,1155.35,0.000361
2001-03-15,1182.04,1166.71,0.000452
2001-03-16,1173.56,1148.64,0.000409
2001-03-19,1173.50,1147.18,0.000466
2001-03-20,1180.56,1142.19,0.000399
2001-03-21,1149.39,1118.74,0.000481
2001-03-22,1124.27,1081.19,0.000529
2001-03-23,1141.83,1117.58,0.000513
2001-03-26,1160.02,1139.83,0.000437
2001-03-27,1183.35,1150.96,0.000383
2001-03-28,1182.17,1147.83,0.000322
2001-03-29,1161.69,1136.26,0.000402
2001-03-30,1162.80,1143.83,0.000394
2001-04-02,1169.51,1137.51,0.000345
2001-04-03,1145.87,1100.19,0.000369
2001-04-04,1117.50,1091.99,0.000515
2001-04-05,1151.47,1103.25,0.000494
2001-04-06,1151.44,1119.29,0.000422
2001-04-09,1146.13,1126.38,0.000481
2001-04-10,1173.92,1137.59,0.000429
2001-04-11,1182.24,1160.26,0.000360
2001-04-12,1183.51,1157.73,0.000346
2001-04-16,1184.64,1167.38,0.000296
2001-04-17,1192.25,1168.90,0.000289
2001-04-18,1248.42,1191.81,0.000252
2001-04-19,1253.71,1233.39,0.000227
2001-04-20,1253.70,1234.41,0.000195
2001-04-23,1242.98,1217.47,0.000206
2001-04-24,1233.54,1208.89,0.000240
2001-04-25,1232.36,1207.38,0.000263
2001-04-26,1248.30,1228.75,0.000223
2001-04-27,1253.07,1234.52,0.000202
2001-04-30,1269.30,1243.99,0.000171
2001-05-01,1266.47,1243.55,0.000168
2001-05-02,1272.93,1257.70,0.000143
2001-05-03,1267.43,1239.88,0.000134
2001-05-04,1267.51,1232.00,0.000166
2001-05-07,1270.00,1259.19,0.000141
2001-05-08,1267.01,1253.00,0.000138
2001-05-09,1261.65,1247.83,0.000134
2001-05-10,1268.14,1254.56,0.000136
2001-05-11,1259.84,1240.79,0.000130
2001-05-14,1249.68,1241.02,0.000139
2001-05-15,1257.45,1245.36,0.000128
2001-05-16,1286.39,1243.02,0.000121
2001-05-17,1296.48,1282.65,0.000112
2001-05-18,1292.06,1281.15,0.000103
2001-05-21,1312.95,1287.87,0.000094
2001-05-22,1315.93,1306.89,0.000081
2001-05-23,1309.38,1288.70,0.000081
2001-05-24,1295.04,1281.22,0.000112
2001-05-25,1293.17,1276.42,0.000102
2001-05-29,1278.42,1265.41,0.000123
2001-05-30,1267.93,1245.96,0.000134
2001-05-31,1261.91,1248.07,0.000167
2001-06-01,1265.34,1246.88,0.000148
2001-06-04,1267.17,1256.36,0.000135
2001-06-05,1286.62,1267.11,0.000120
2001-06-06,1283.85,1269.01,0.000103
2001-06-07,1277.08,1265.08,0.000120
2001-06-08,1277.11,1259.99,0.000107
2001-06-11,1264.96,1249.23,0.000121
2001-06-12,1261.00,1235.75,0.000133
2001-06-13,1259.75,1241.59,0.000124
2001-06-14,1241.60,1218.90,0.000144
2001-06-15,1221.50,1203.03,0.000185
2001-06-18,1221.23,1208.33,0.000186
2001-06-19,1226.11,1207.71,0.000187
2001-06-20,1225.61,1210.07,0.000171
2001-06-21,1240.24,1220.25,0.000149
2001-06-22,1237.73,1221.41,0.000127
