Date,RVaverage,sigma2
2001-01-02,0.000192,0.000190
2001-01-03,0.002029,0.000282
2001-01-04,0.000208,0.000274
2001-01-05,0.000382,0.000291
2001-01-08,0.000214,0.000381
2001-01-09,0.000159,0.000364
2001-01-10,0.000205,0.000333
2001-01-11,0.000110,0.000292
2001-01-12,0.000165,0.000255
2001-01-16,0.000095,0.000259
2001-01-17,0.000086,0.000231
2001-01-18,0.000105,0.000214
2001-01-19,0.000126,0.000182
2001-01-22,0.000123,0.000182
2001-01-23,0.000076,0.000171
2001-01-24,0.000083,0.000146
2001-01-25,0.000088,0.000134
2001-01-26,0.000087,0.000137
2001-01-29,0.000038,0.000134
2001-01-30,0.000054,0.000118
2001-01-31,0.000112,0.000104
2001-02-01,0.000073,0.000109
2001-02-02,0.000088,0.000097
2001-02-05,0.000065,0.000135
2001-02-06,0.000042,0.000123
2001-02-07,0.000066,0.000120
2001-02-08,0.000070,0.000131
2001-02-09,0.000064,0.000137
2001-02-12,0.000068,0.000164
2001-02-13,0.000069,0.000140
2001-02-14,0.000103,0.000153
2001-02-15,0.000063,0.000149
2001-02-16,0.000092,0.000130
2001-02-20,0.000088,0.000176
2001-02-21,0.000149,0.000218
2001-02-22,0.000407,0.000266
2001-02-23,0.000345,0.000256
2001-02-26,0.000138,0.000257
2001-02-27,0.000190,0.000217
2001-02-28,0.000275,0.000225
2001-03-01,0.000290,0.000256
2001-03-02,0.000263,0.000239
2001-03-05,0.000092,0.000241
2001-03-06,0.000090,0.000216
2001-03-07,0.000114,0.000187
2001-03-08,0.000081,0.000166
2001-03-09,0.000184,0.000153
2001-03-12,0.000293,0.000226
2001-03-13,0.000254,0.000419
2001-03-14,0.000626,0.000361
2001-03-15,0.000137,0.000452
2001-03-16,0.000268,0.000409
2001-03-19,0.000121,0.000466
2001-03-20,0.000343,0.000399
2001-03-21,0.000383,0.000481
2001-03-22,0.000672,0.000529
2001-03-23,0.000325,0.000513
2001-03-26,0.000172,0.000437
2001-03-27,0.000167,0.000383
2001-03-28,0.000233,0.000322
2001-03-29,0.000265,0.000402
2001-03-30,0.000293,0.000394
2001-04-02,0.000249,0.000345
2001-04-03,0.000305,0.000369
2001-04-04,0.000444,0.000515
2001-04-05,0.000173,0.000494
2001-04-06,0.000395,0.000422
2001-04-09,0.000188,0.000481
2001-04-10,0.000137,0.000429
2001-04-11,0.000169,0.000360
2001-04-12,0.000191,0.000346
2001-04-16,0.000199,0.000296
2001-04-17,0.000190,0.000289
2001-04-18,0.000926,0.000252
2001-04-19,0.000112,0.000227
2001-04-20,0.000098,0.000195
2001-04-23,0.000092,0.000206
2001-04-24,0.000116,0.000240
2001-04-25,0.000129,0.000263
2001-04-26,0.000110,0.000223
2001-04-27,0.000109,0.000202
2001-04-30,0.000091,0.000171
2001-05-01,0.000123,0.000168
2001-05-02,0.000121,0.000143
2001-05-03,0.000110,0.000134
2001-05-04,0.000188,0.000166
2001-05-07,0.000100,0.000141
2001-05-08,0.000075,0.000138
2001-05-09,0.000074,0.000134
2001-05-10,0.000070,0.000136
2001-05-11,0.000091,0.000130
2001-05-14,0.000043,0.000139
2001-05-15,0.000142,0.000128
2001-05-16,0.000121,0.000121
2001-05-17,0.000097,0.000112
2001-05-18,0.000072,0.000103
2001-05-21,0.000069,0.000094
2001-05-22,0.000085,0.000081
2001-05-23,0.000086,0.000081
2001-05-24,0.000084,0.000112
2001-05-25,0.000062,0.000102
2001-05-29,0.000068,0.000123
2001-05-30,0.000069,0.000134
2001-05-31,0.000079,0.000167
2001-06-01,0.000100,0.000148
2001-06-04,0.000058,0.000135
2001-06-05,0.000069,0.000120
2001-06-06,0.000075,0.000103
2001-06-07,0.000077,0.000120
2001-06-08,0.000066,0.000107
2001-06-11,0.000044,0.000121
2001-06-12,0.000090,0.000133
2001-06-13,0.000073,0.000124
2001-06-14,0.000090,0.000144
2001-06-15,0.000126,0.000185
2001-06-18,0.000090,0.000186
2001-06-19,0.000085,0.000187
2001-06-20,0.000109,0.000171
2001-06-21,0.000094,0.000149
2001-06-22,0.000093,0.000127
2001-06-25,0.000064,0.000142
2001-06-26,0.000090,0.000146
2001-06-27,0.000099,0.000142
2001-06-28,0.000119,0.000144
2001-06-29,0.000073,0.000123
2001-07-02,0.000061,0.000119
